Samples - Plot 0,Amplitude [V] - Plot 0
1306,0.296982
1307,0.292122
1308,0.281122
1309,0.266158
1310,0.246078
1311,0.220882
1312,0.192232
1313,0.160641
1314,0.125597
1315,0.0882504
1316,0.0496249
1317,0.00972034
1318,-0.0296726
1319,-0.0764837
1320,-0.111784
1321,-0.144782
1322,-0.176117
1323,-0.204639
1324,-0.229579
1325,-0.250938
1326,-0.267309
1327,-0.279588
1328,-0.285983
1329,-0.287517
1330,-0.283808
1331,-0.275751
1332,-0.262065
1333,-0.243264
1334,-0.220626
1335,-0.194151
1336,-0.163071
1337,-0.129178
1338,-0.0936222
1339,-0.0562756
1340,-0.0176501
1341,0.0205918
1342,0.0589615
1343,0.101552
1344,0.139794
1345,0.170617
1346,0.198755
1347,0.224079
1348,0.246206
1349,0.264112
1350,0.277669
1351,0.286366
1352,0.290587
1353,0.288413
1354,0.281762
1355,0.270123
1356,0.253368
1357,0.232521
1358,0.207197
1359,0.178547
1360,0.146828
1361,0.112423
1362,0.0746931
1363,0.0376024
1364,-0.00102319
1365,-0.0411835
1366,-0.0854366
1367,-0.117795
1368,-0.149258
1369,-0.178803
1370,-0.206173
1371,-0.229451
1372,-0.248636
1373,-0.263728
1374,-0.274472
1375,-0.279715
1376,-0.280355
1377,-0.275239
1378,-0.265007
1379,-0.251066
1380,-0.232009
1381,-0.208476
1382,-0.180849
1383,-0.150282
1384,-0.117156
1385,-0.0810881
1386,-0.0441252
1387,-0.00613916
1388,0.031719
1389,0.0684261
1390,0.111144
1391,0.145293
1392,0.174199
1393,0.201697
1394,0.22523
1395,0.245694
1396,0.261682
1397,0.274216
1398,0.281506
1399,0.283936
1400,0.280739
1401,0.272681
1402,0.258868
1403,0.241474
1404,0.220114
1405,0.194279
1406,0.16499
1407,0.132504
1408,0.098994
1409,0.0629264
1410,0.025324
1411,-0.012662
1412,-0.0541013
1413,-0.0933664
1414,-0.124446
1415,-0.155014
1416,-0.183407
1417,-0.208476
1418,-0.230218
1419,-0.248764
1420,-0.262833
1421,-0.271402
1422,-0.274727
1423,-0.273576
1424,-0.266798
1425,-0.255287
1426,-0.239683
1427,-0.219987
1428,-0.195814
1429,-0.16806
1430,-0.136852
1431,-0.102447
1432,-0.0675308
1433,-0.0314632
1434,0.00537177
1435,0.0420788
1436,0.0780185
1437,0.121632
1438,0.151561
1439,0.17957
1440,0.20515
1441,0.227533
1442,0.246334
1443,0.260659
1444,0.271402
1445,0.277285
1446,0.277541
1447,0.272553
1448,0.263216
1449,0.249275
1450,0.230602
1451,0.207708
1452,0.180977
1453,0.151433
1454,0.119842
1455,0.0855645
1456,0.0492412
1457,0.012662
1458,-0.0244287
1459,-0.0666355
1460,-0.101808
1461,-0.132376
1462,-0.161409
1463,-0.188395
1464,-0.212185
1465,-0.232009
1466,-0.247996
1467,-0.259891
1468,-0.266286
1469,-0.26846
1470,-0.265647
1471,-0.257973
1472,-0.245694
1473,-0.22894
1474,-0.20822
1475,-0.183152
1476,-0.154886
1477,-0.123678
1478,-0.0899131
1479,-0.0546129
1480,-0.0184175
1481,0.0184175
1482,0.0541013
1483,0.0914479
1484,0.130073
1485,0.158723
1486,0.18507
1487,0.208859
1488,0.229707
1489,0.247229
1490,0.260275
1491,0.268077
1492,0.271146
1493,0.269611
1494,0.263216
1495,0.252601
1496,0.237381
1497,0.218324
1498,0.195302
1499,0.16806
1500,0.13762
1501,0.104749
1502,0.0713677
1503,0.0360676
1504,0.000255798
1505,-0.0353002
1506,-0.0789138
1507,-0.10897
1508,-0.138131
1509,-0.166397
1510,-0.191209
1511,-0.213208
1512,-0.232393
1513,-0.247101
1514,-0.256822
1515,-0.262193
1516,-0.262577
1517,-0.257845
1518,-0.249148
1519,-0.235718
1520,-0.217684
1521,-0.195046
1522,-0.16985
1523,-0.141968
1524,-0.110633
1525,-0.0776348
1526,-0.0428462
1527,-0.00780185
1528,0.0276262
1529,0.0627985
1530,0.10104
1531,0.135062
1532,0.162432
1533,0.187884
1534,0.211034
1535,0.230474
1536,0.245311
1537,0.256949
1538,0.26424
1539,0.265902
1540,0.263089
1541,0.25567
1542,0.24416
1543,0.228172
1544,0.20822
1545,0.184175
1546,0.157188
1547,0.12726
1548,0.0946454
1549,0.0604963
1550,0.0259635
1551,-0.00920874
1552,-0.0462995
1553,-0.086204
1554,-0.115493
1555,-0.143631
1556,-0.170362
1557,-0.194407
1558,-0.215126
1559,-0.232137
1560,-0.245566
1561,-0.253624
1562,-0.257461
1563,-0.256822
1564,-0.25081
1565,-0.240706
1566,-0.226637
1567,-0.208604
1568,-0.185837
1569,-0.16013
1570,-0.131097
1571,-0.100401
1572,-0.0674029
1573,-0.0328701
1574,0.00166269
1575,0.0364513
1576,0.0706003
1577,0.110377
1578,0.141073
1579,0.166908
1580,0.190826
1581,0.211673
1582,0.229323
1583,0.243008
1584,0.253112
1585,0.25874
1586,0.259763
1587,0.256438
1588,0.247996
1589,0.234439
1590,0.217812
1591,0.197093
1592,0.172792
1593,0.144782
1594,0.115237
1595,0.0833903
